District,Latitude,Longitude
Amtali,22.133909,90.236193
Bamna ,22.274155,90.065334
Barguna Sadar ,22.119149,90.093369
Betagi ,22.414161,90.165886
Patharghata ,22.071474,89.944006
Taltali ,22.023739,90.13078
Muladi ,22.887534,90.388962
Babuganj ,22.834068,90.318379
Agailjhara ,22.971329,90.163544
Barisal Sadar ,22.738469,90.431373
Bakerganj ,22.54787,90.393672
Banaripara ,22.822422,90.121423
Gaurnadi ,22.941426,90.252616
Hizla ,22.97644,90.544691
Mehendiganj ,22.82607,90.526964
Wazirpur ,22.882022,90.093369
Bhola Sadar ,22.690181,90.620416
Burhanuddin ,22.475251,90.715275
Char Fasson ,22.199535,90.72596
Daulatkhan ,22.605109,90.741366
Lalmohan ,22.308106,90.772297
Manpura ,22.199859,90.953398
Tazumuddin ,22.417979,90.850835
Jhalokati Sadar ,22.691245,90.205711
Kathalia ,22.405278,90.093369
Nalchity ,22.595783,90.280787
Rajapur ,22.548296,90.13078
Bauphal ,22.419253,90.556514
Dashmina ,22.27914,90.56834
Galachipa ,22.163373,90.410162
Kalapara ,21.904449,90.186964
Mirzaganj ,22.362453,90.210882
Patuakhali Sadar ,22.357231,90.356008
Dumki ,22.464453,90.384253
Rangabali ,21.90404,90.412518
Bhandaria,22.441067,90.009327
Kaukhali,22.625809,90.070005
Mathbaria,22.292046,89.958012
Nazirpur,22.786716,89.981344
Nesarabad,22.744964,90.116746
Pirojpur Sadar,22.596026,89.981344
Zianagar,22.485764,89.960346
Bandarban Sadar,22.246848,92.243349
Thanchi,21.821096,92.435696
Lama,21.793747,92.263039
Naikhongchhari,21.426948,92.175728
Ali kadam,21.653009,92.314768
Rowangchhari,22.197522,92.36162
Ruma,21.981,92.499992
Brahmanbaria Sadar ,23.925825,91.116117
Ashuganj ,24.027738,90.996409
Nasirnagar ,24.187002,91.173699
Nabinagar ,23.88821,90.960564
Sarail ,24.116373,91.077772
Shahbazpur Town,24.055996,91.202521
Kasba ,23.78307,91.116117
Akhaura ,23.868619,91.209729
Bancharampur ,23.784967,90.810357
Bijoynagar ,24.014186,91.226554
Chandpur Sadar,23.232099,90.663075
